Code,Status,Match_Found,Start_Time,End_Time,Similarity,Matched_Text,Match_Type
ENS_001,Match found,TRUE,260.56,334.17,0.8584643848288622," He was around the beach. Uh-huh later  He found some  Some cabbage  Which is number two. Okay, he found some cabbage which he really dislikes around the beach. Uh-huh. No, but three words  He was a little bit angry  And looking at it for help  What kind of  The number four  He went back home and  Because his clothes was on tidy so you try to  You try to do some cleanup on his clothes  The number five his mom  Asked him to get  To get something from the shopping mall  Which was on Aaron  then of a six  He went back  To the beach to enjoy  Swimming with his friends",window_19
ENS_002,Match found,TRUE,258.58,280.58,0.9405099150141641, A man wanted to go to the beach  But he has no money  So he's looking for jobs  And then he found a job and he...  He has the job and he...  Not money  And then now he can go to the beach,window_7
ENS_003,Match found,TRUE,330.39,436.29,0.9404761904761905," Okay, well, let me figure this out a few weeks ago a man was suffering  He lost his wallet  Money, so he he went to look for a job and he saw a sign  Which says stuff wanted and he got a job offer  doing  I think it's  computer oh selling  Stuff like electronic stuff  So he's trying to explain  about  computers or  Applies and the customers listening to  his  explanation and  later on  After work or maybe after a few months he got his pay  Pitch got his salary and he got paid and very happy to make the money, so he went back  to the beach and  in  with his family, I guess and  and",window_21
ENS_004,Match found,TRUE,193.05,227.05,0.993514915693904," A few weeks ago, a young man decided that he wanted to go to the beach on holiday.  However, he didn't have enough money.  So to get some money, he went and looked for a job,  and saw a poster for staff wanted.  He joined the company selling computers, and he did very well,  and earned some money.  He showed his mother who was happy for him,  and he ended up going to the beach and having lots of fun.",window_8
ENS_005,Match found,TRUE,190.5,222.42,0.9072164948453608, was very interested in going to the ocean he wanted to go swimming but he  didn't have any money unfortunately. However he stumbled upon a job application  poster that a store was looking for staff members so he got a job and he was  selling electronics and computers then he was able to get money and then he  was able to go on his trip to the ocean. Very good. Thank you. Now some questions,window_5
ENS_006,Match found,TRUE,272.51,298.99,0.9102990033222591," a young man was thinking about going on a trip out to the ocean, but he realized that he didn't have  have any money. So he decided to look for a part-time job. He worked at his part-time job and saved up  enough money and was able to go to the beach and see with his friends. Okay, we're good. Now some",window_3
ENS_007,Match found,TRUE,226.34,250.34,0.838006230529595," So, if you wait a little, I'm going to say my friend wanted to go to the beach.  Mm-hmm.  Have a good time.  Either have any money.  Um, so he saw a sign of staff wanted, so he got a part-time job.  Mm-hmm.  I guess, you know, in the summer.  And then after he got his first paycheck, he went with his friend to have fun.  Yeah, turn the weekend.",window_9
ENS_008,Match found,TRUE,216.28,246.6,0.8745684695051783," It's not I a man a man a man a man. Okay, all right  So we're doing that the comments you buy the man. Okay a few weeks ago the man  Decided he wants to go on a vacation, but he didn't have enough money  So he started looking for a job and he found this poster for job in electronics store  He applied for the job and he got it so after a few weeks of  Really selling these laptops  Finally got his paycheck and with that it was enough money",window_7
ENS_009,Match found,TRUE,206.31,242.31,0.9794007490636703," Sure, a few weeks ago, a young boy thought of going on holiday.  He wanted to do water sports, etc. in a warmer climate.  When he checked his funds, he found that his funds were lacking, which meant he couldn't go on holiday.  He then saw an advertisement for a part-time job.  And thought if he were to get a job, he could raise the funds to go on holiday.  He applied successfully for the job and worked at it until he was able to take home his first paycheck or however many paychecks.  And finally, he was able to go on the holiday that he wanted to.",window_7
ENS_010,Match found,TRUE,238.53,266.14,0.959481361426256," A few weeks ago, a man thought he wanted to go surfing, but he had no money.  While working on the street one day, he saw a sign looking for staff at an electronics store.  He managed to get a job with his company and earned some money.  And the end, him and his friends got to go surfing and swimming in the ocean.",window_4
ENS_011,Match found,TRUE,217.31,262.59,0.9513023782559457, A few weeks ago Billy was thinking about taking a holiday or vacation you  swimming and surfing at a beach someplace but he found out that he didn't have  enough money in order to take a trip so he was walking kind of  despondent and he saw an ad for a job. He went in and applied for the job and was  fortunate enough to get the job. He got a paycheck and in a short time he was  able to afford a vacation and was able to enjoy his life. Great. Excellent. Here,window_6
ENS_012,Match found,TRUE,440.89,474.89,0.9979716024340771," All right.  Okay.  So again, a few weeks ago,  Takashi wanted to go swimming.  But he has no money.  So Takashi wants to look for a part-time job.  There, he worked very, very hard.  Okay.  Next, Takashi got money.  He is very happy.  Then, he and his friends went swimming.",window_11
ENS_013,Match found,TRUE,301.9,340.78,0.9541284403669725," A few weeks ago, a young man was dreaming about going snowboarding, or going surfing in the ocean.  However, unfortunately, he didn't have enough money to afford the gear of Dubai snow surfboard  and surfing equipment. So he was depressed. One day, he stumbled across a staff wanted sign, a shop.  And he decided to take the opportunity. The staff explained that he would be selling computers.  He got the job. He got his first salary. And he achieved his dream of going surfing in the beach with",window_5
ENS_014,Match found,TRUE,239.33,265.33,0.9202037351443124," A few weeks ago, a boy wanted to go to the beach for some revocation.  But he didn't have any money, so he couldn't go.  And then he saw a part-time job where he can make that money and decided to work at part-time job.  Once he got enough money for his trip, he went to the beach with his friends.",window_4
ENS_015,Match found,TRUE,280.94,323.34,0.8753861997940269," John wanted to go on a vacation  at the beach and  he  So his primary modification he didn't have enough money  After checking his wallet I suppose and then after he since he didn't have enough money  He just had he was walking around the mall  I guess and then he saw a sign for a part-time job  so he  Looks like yeah, he he applied for a job. He  Start working there  Um, I guess for a couple weeks then and then he or they have money and then to fulfill his desire of loan vacation",window_11
ENS_016,Match found,TRUE,201.69,235.8,0.8223552894211577," evidently heard himself  three  The staff is wanted at a particular place  four a  man is searching for a computer  five  I don't get this one. I guess he is  receiving something  six  man is playing in the  Sea with a woman and a child. Okay, very good",window_11
ENS_017,Match found,TRUE,279.35,294.07,0.9085872576177284, A man wanted to go to the beach  But he had no money. So  He looked for a job and he found a job in computer shop  Then he got her first salary and he went to the beach very good. Okay,window_4
ENS_018,Match found,TRUE,342.1,403.66,0.9431545236188952," a man, he was out of money. So he decided, hmm, I need to go look for a job. And he saw an ad  and they needed staff there. So he, he applied and then he got the job.  So I think based on this, he works as a customer service, um, like he at a shop, like he assists people  on explaining different kinds of products to people. And then after working there, this man,  he got paid, like a good amount of money. And he's like, oh, now I have money, I can go have fun.  And he's like, oh, why don't I invite my friends to swim? Now it's, it's the summer. It's  nice weather. So he went up to swim with his friend and they had a really nice day. Very good. Okay, thank",window_7
ENS_019,Match found,TRUE,269.78,330.25,0.9608323133414933," A few weeks ago, there was a young little boy  who was very much attracted to the beach.  However, he couldn't afford a surfboard  and he wanted to go with somebody he liked.  However, he didn't have enough money.  Oh, sorry.  Am I supposed to mention the letters?  No, that's correct.  Sorry.  He didn't have enough money to travel to where he needs  to go and to do the things he wanted.  So he decided to find a job that he was interested in.  He knew he was intelligent.  He knew he was good with computers  and with helping people over the net.  And then one day, he saw an advertisement  of a staff want to do in a computer store.  He was very interested in it.  And he went for an interview.  Next thing, you know, he lent himself the job.  He acquired the cash and was able to spend his summer days  down at the beach with a girl he liked.  Perhaps it was even his sister.",window_23
ENS_020,Match found,TRUE,284.31,345.31,0.990450204638472," A few weeks ago, John was thinking about how much he would like to go on a trip to Hawaii,  because he really likes swimming.  But then he realized as much as he wanted to go, he didn't have enough money.  So he was trying to find a way to make money.  And he came across an advertisement for stuff wanted at an electronic store.  So he thought it would be a great idea to get a job, so he could save money in order to go on his holiday.  He started working at the store, and he seemed to enjoy selling products to customers.  He always had a big smile on his face.  And the next month, he received his first paycheck.  He was very happy.  And several months after that, after saving some money, he was able to go on his holiday and enjoy swimming in the ocean.",window_11
